geoid,lon,lat,call_count,geoid_2020
420030103001,-79.9848165697814,40.4343741406204,5265,420030103011
420030103002,-79.9904755497259,40.4369020493028,2844,420030103021
420030103003,-79.9837638085638,40.4369010410715,9300,420030103022
420030103004,-79.977289961057,40.4373547991558,1736,420030103022
420030201001,-80.0067293864748,40.439640377002,12322,420030201001
420030201002,-80.0042531259759,40.4434807489034,7064,420030201002
420030201003,-79.9991080518783,40.441376707381,14481,420030201003
420030201004,-79.9892139696726,40.4406844760062,3037,420030305003
420030201005,-79.9966060929745,40.4379740715745,7098,420030201004
420030201006,-79.9970207258277,40.4450860046541,8352,420030201005
420030203001,-79.9814358312587,40.4542814709246,4849,420030203001
420030305001,-79.9856274594971,40.4444413075378,4699,420030305001
420030305002,-79.9813396765969,40.4403925313045,3614,420030305002
420030402001,-79.9694406064413,40.439122827976,1593,420030510001
420030402002,-79.9626140406666,40.4412517150916,6658,420030402002
420030404001,-79.9484002020288,40.4458444069545,625,420030404001
420030404002,-79.9499653438506,40.4482701178561,1906,420030404002
420030405001,-79.9542364969088,40.440688456109,2567,420030405001
420030405002,-79.9582188404362,40.4382333995906,2040,420030405002
420030406001,-79.952288526385,40.4367581293383,1082,420030406001
420030409001,-79.9626960085371,40.4355168597522,4985,420030409001
420030409002,-79.9556788326568,40.4318429067647,748,420030409002
420030409003,-79.951804613391,40.4308153999127,560,420030409003
420030501001,-79.9675198261918,40.4501662693267,1146,420030501002
420030501002,-79.9721425542629,40.4474891563718,1671,420030501002
420030501003,-79.9776985897945,40.4459803609266,4293,420030501001
420030506001,-79.95968411413,40.4552887063555,2641,420030506001
420030506002,-79.9616550408483,40.4521286296394,808,420030506002
420030506003,-79.9591397702763,40.4507309652359,889,420030506002
420030509001,-79.9743642858791,40.4510371227739,6489,420030509001
420030510001,-79.9712180824787,40.4419441612595,2511,420030510001
420030510002,-79.965289058217,40.4458750224138,2727,420030510002
420030511001,-79.9764006574579,40.4415991976999,1368,420030511001
420030603001,-79.9609502353287,40.4621300694944,1113,420030603001
420030603002,-79.9669006134401,40.4666665628867,2446,420030603002
420030605001,-79.969369594384,40.4570368001828,1266,420030605001
420030605002,-79.9612843013675,40.4586135783682,658,420030605002
420030703001,-79.9334934454042,40.4527319841613,453,420030703001
420030703002,-79.9325840976186,40.4502379567306,2125,420030703002
420030703003,-79.9374039743815,40.4501706956377,400,420030703003
420030705001,-79.9275222864209,40.4551624557267,477,420030705001
420030705002,-79.9307338722435,40.4539168578891,232,420030705002
420030705003,-79.9293813350669,40.4574296231397,1380,420030705003
420030706001,-79.9234958403835,40.4546101998475,419,420030706001
420030706002,-79.9274617351331,40.4519492059506,464,420030706002
420030708001,-79.9220124249188,40.458428609457,1225,420030708001
420030708002,-79.9181980167363,40.4551106813877,702,420030708002
420030709001,-79.9379489411611,40.4544471464716,7271,420030709001
420030709002,-79.9473037233992,40.4511003655394,670,420030709002
420030709003,-79.9431433727084,40.4489349088572,508,420030709003
420030709004,-79.9436259996091,40.4525593648404,512,420030709004
420030802001,-79.9510110487305,40.4593398214002,1010,420030802001
420030802002,-79.9522445761777,40.4617279820832,683,420030802002
420030804001,-79.9441162271497,40.457438232822,3367,420030804001
420030804002,-79.9479003767686,40.4551298294508,979,420030804002
420030806001,-79.9396175889351,40.4616027253882,635,420030806001
