service,priority,call_quarter,call_year,geoid,record_count
EMS,E0,Q1,2015,420031516002,3
EMS,E0,Q1,2015,420031516003,1
EMS,E0,Q1,2015,420031517001,15
EMS,E0,Q1,2015,420031517002,6
EMS,E0,Q1,2015,420031517003,3
EMS,E0,Q1,2015,420031517004,1
EMS,E0,Q1,2015,420031517005,7
EMS,E0,Q1,2015,420031517006,3
EMS,E0,Q1,2015,420031608001,1
EMS,E0,Q1,2015,420031608002,5
EMS,E0,Q1,2015,420031608003,5
EMS,E0,Q1,2015,420031608004,10
EMS,E0,Q1,2015,420031609001,15
EMS,E0,Q1,2015,420031609002,23
EMS,E0,Q1,2015,420031702001,31
EMS,E0,Q1,2015,420031702002,34
EMS,E0,Q1,2015,420031702003,27
EMS,E0,Q1,2015,420031702004,24
EMS,E0,Q1,2015,420031706001,3
EMS,E0,Q1,2015,420031706002,5
EMS,E0,Q1,2015,420031706003,6
EMS,E0,Q1,2015,420031803001,10
EMS,E0,Q1,2015,420031803002,10
EMS,E0,Q1,2015,420031803003,9
EMS,E0,Q1,2015,420031807002,2
EMS,E0,Q1,2015,420031807003,7
EMS,E0,Q1,2015,420031903001,10
EMS,E0,Q1,2015,420031903002,8
EMS,E0,Q1,2015,420031911001,8
EMS,E0,Q1,2015,420031911002,6
EMS,E0,Q1,2015,420031914001,13
EMS,E0,Q1,2015,420031914002,11
EMS,E0,Q1,2015,420031915001,5
EMS,E0,Q1,2015,420031915002,13
EMS,E0,Q1,2015,420031916001,6
EMS,E0,Q1,2015,420031916002,2
EMS,E0,Q1,2015,420031916003,4
EMS,E0,Q1,2015,420031916004,3
EMS,E0,Q1,2015,420031916005,7
EMS,E0,Q1,2015,420031917001,11
EMS,E0,Q1,2015,420031917003,4
EMS,E0,Q1,2015,420031918001,7
EMS,E0,Q1,2015,420031918002,5
EMS,E0,Q1,2015,420031918003,4
EMS,E0,Q1,2015,420031918004,6
EMS,E0,Q1,2015,420031918005,1
EMS,E0,Q1,2015,420031918006,1
EMS,E0,Q1,2015,420031918007,7
EMS,E0,Q1,2015,420031919001,5
EMS,E0,Q1,2015,420031919002,6
EMS,E0,Q1,2015,420031919003,2
EMS,E0,Q1,2015,420031920001,10
EMS,E0,Q1,2015,420031920002,5
EMS,E0,Q1,2015,420031920003,4
EMS,E0,Q1,2015,420031920004,6
EMS,E0,Q1,2015,420031920005,2
EMS,E0,Q1,2015,420032022001,11
EMS,E0,Q1,2015,420032022002,6
EMS,E0,Q1,2015,420032022003,9
EMS,E0,Q1,2015,420032023001,4
EMS,E0,Q1,2015,420032023002,13
EMS,E0,Q1,2015,420032023003,23
EMS,E0,Q1,2015,420032023004,4
EMS,E0,Q1,2015,420032107001,14
EMS,E0,Q1,2015,420032107002,6
EMS,E0,Q1,2015,420032206001,16
EMS,E0,Q1,2015,420032206002,17
EMS,E0,Q1,2015,420032406001,4
EMS,E0,Q1,2015,420032406002,15
EMS,E0,Q1,2015,420032412001,4
EMS,E0,Q1,2015,420032412002,3
EMS,E0,Q1,2015,420032503001,9
EMS,E0,Q1,2015,420032507001,15
EMS,E0,Q1,2015,420032509001,10
EMS,E0,Q1,2015,420032509002,5
EMS,E0,Q1,2015,420032602001,2
EMS,E0,Q1,2015,420032602002,7
EMS,E0,Q1,2015,420032602003,6
EMS,E0,Q1,2015,420032607001,4
EMS,E0,Q1,2015,420032607002,3
EMS,E0,Q1,2015,420032609001,35
EMS,E0,Q1,2015,420032612001,7
EMS,E0,Q1,2015,420032614001,4
EMS,E0,Q1,2015,420032614002,5
EMS,E0,Q1,2015,420032614003,10
EMS,E0,Q1,2015,420032614004,18
EMS,E0,Q1,2015,420032615001,13
EMS,E0,Q1,2015,420032615002,7
EMS,E0,Q1,2015,420032620001,11
EMS,E0,Q1,2015,420032620002,10
EMS,E0,Q1,2015,420032620003,6
EMS,E0,Q1,2015,420032701001,11
EMS,E0,Q1,2015,420032701002,16
EMS,E0,Q1,2015,420032703001,11
EMS,E0,Q1,2015,420032703002,11
EMS,E0,Q1,2015,420032704001,7
EMS,E0,Q1,2015,420032708001,3
EMS,E0,Q1,2015,420032708002,8
EMS,E0,Q1,2015,420032708003,6
EMS,E0,Q1,2015,420032715001,11
EMS,E0,Q1,2015,420032715002,8
EMS,E0,Q1,2015,420032715003,11
EMS,E0,Q1,2015,420032814001,5
EMS,E0,Q1,2015,420032814002,19
EMS,E0,Q1,2015,420032815002,7
EMS,E0,Q1,2015,420032901001,10
EMS,E0,Q1,2015,420032901002,8
EMS,E0,Q1,2015,420032901003,8
EMS,E0,Q1,2015,420032902001,10
EMS,E0,Q1,2015,420032902002,5
EMS,E0,Q1,2015,420032902003,3
EMS,E0,Q1,2015,420032902004,4
EMS,E0,Q1,2015,420032902005,6
EMS,E0,Q1,2015,420032904001,2
EMS,E0,Q1,2015,420032904002,13
EMS,E0,Q1,2015,420032904003,8
EMS,E0,Q1,2015,420032904004,7
EMS,E0,Q1,2015,420032904005,6
EMS,E0,Q1,2015,420033001001,1
EMS,E0,Q1,2015,420033001002,14
EMS,E0,Q1,2015,420033001003,8
EMS,E0,Q1,2015,420033001004,9
EMS,E0,Q1,2015,420033001005,12
EMS,E0,Q1,2015,420033001006,6
EMS,E0,Q1,2015,420033102001,2
EMS,E0,Q1,2015,420033102002,1
EMS,E0,Q1,2015,420033102003,4
EMS,E0,Q1,2015,420033102004,3
EMS,E0,Q1,2015,420033102005,5
EMS,E0,Q1,2015,420033103001,2
EMS,E0,Q1,2015,420033204001,6
EMS,E0,Q1,2015,420033204002,3
EMS,E0,Q1,2015,420033204003,5
EMS,E0,Q1,2015,420033206001,4
EMS,E0,Q1,2015,420033206002,6
EMS,E0,Q1,2015,420033207001,5
EMS,E0,Q1,2015,420033207002,5
EMS,E0,Q1,2015,420034772001,1
EMS,E0,Q1,2015,420034810002,3
EMS,E0,Q1,2015,420034810003,3
EMS,E0,Q1,2015,420035616001,7
EMS,E0,Q1,2015,420035616002,2
EMS,E0,Q1,2015,420035616003,8
EMS,E0,Q1,2015,420035616004,5
EMS,E0,Q1,2015,420035617001,1
EMS,E0,Q1,2015,420035617002,6
EMS,E0,Q1,2015,420035619001,6
EMS,E0,Q1,2015,420035619002,16
EMS,E0,Q1,2015,420035620001,8
EMS,E0,Q1,2015,420035620002,6
EMS,E0,Q1,2015,420035620003,8
EMS,E0,Q1,2015,420035623001,10
EMS,E0,Q1,2015,420035623002,14
EMS,E0,Q1,2015,420035623003,3
EMS,E0,Q1,2015,420035623004,6
EMS,E0,Q1,2015,420035623005,8
EMS,E0,Q1,2015,420035623006,10
EMS,E0,Q1,2015,420035624001,8
EMS,E0,Q1,2015,420035624002,5
EMS,E0,Q1,2015,420035624003,2
EMS,E0,Q1,2015,420035624004,8
EMS,E0,Q1,2015,420035624005,5
EMS,E0,Q1,2015,420035625001,2
EMS,E0,Q1,2015,420035625002,3
EMS,E0,Q1,2015,420035625003,13
EMS,E0,Q1,2015,420035625004,12
EMS,E0,Q1,2015,420035626001,4
EMS,E0,Q1,2015,420035626002,8
EMS,E0,Q1,2015,420035626003,7
EMS,E0,Q1,2015,420035626004,9
EMS,E0,Q1,2015,420035627001,6
EMS,E0,Q1,2015,420035627002,26
EMS,E0,Q1,2015,420035628001,9
EMS,E0,Q1,2015,420035628002,10
EMS,E0,Q1,2015,420035629001,8
EMS,E0,Q1,2015,420035629002,6
EMS,E0,Q1,2015,420035629003,6
EMS,E0,Q1,2015,420035630001,9
EMS,E0,Q1,2015,420035630002,5
EMS,E0,Q1,2015,420035630003,2
EMS,E0,Q1,2015,420035630004,9
EMS,E0,Q1,2015,420035631001,1
EMS,E0,Q1,2015,420035631002,10
EMS,E0,Q1,2015,420035631003,9
EMS,E0,Q1,2015,420035632001,7
EMS,E0,Q1,2015,420035632002,37
EMS,E0,Q1,2015,420035632003,16
EMS,E0,Q1,2015,420039800001,18
EMS,E0,Q1,2015,420039801001,7
EMS,E0,Q1,2015,420039805001,5
EMS,E0,Q1,2015,420039806001,28
EMS,E0,Q1,2015,420039807001,12
EMS,E0,Q1,2015,420039808001,3
EMS,E0,Q1,2015,420039809001,8
EMS,E0,Q1,2015,420039810001,4
EMS,E0,Q1,2015,420039811001,3
EMS,E0,Q1,2015,420039812001,6
EMS,E0,Q1,2015,420039818001,1
EMS,E0,Q1,2015,420039822001,44
EMS,E0,Q1,2016,420030103001,36
EMS,E0,Q1,2016,420030103002,9
EMS,E0,Q1,2016,420030103003,20
EMS,E0,Q1,2016,420030103004,1
EMS,E0,Q1,2016,420030201001,58
EMS,E0,Q1,2016,420030201002,39
EMS,E0,Q1,2016,420030201003,81
EMS,E0,Q1,2016,420030201004,8
EMS,E0,Q1,2016,420030201005,56
EMS,E0,Q1,2016,420030201006,32
EMS,E0,Q1,2016,420030203001,23
EMS,E0,Q1,2016,420030305001,10
EMS,E0,Q1,2016,420030305002,18
EMS,E0,Q1,2016,420030402001,10
EMS,E0,Q1,2016,420030402002,9
EMS,E0,Q1,2016,420030404001,3
EMS,E0,Q1,2016,420030404002,7
EMS,E0,Q1,2016,420030405001,28
EMS,E0,Q1,2016,420030405002,16
EMS,E0,Q1,2016,420030406001,13
EMS,E0,Q1,2016,420030409001,17
EMS,E0,Q1,2016,420030409002,5
EMS,E0,Q1,2016,420030409003,3
EMS,E0,Q1,2016,420030501001,5
EMS,E0,Q1,2016,420030501002,8
EMS,E0,Q1,2016,420030501003,26
EMS,E0,Q1,2016,420030506001,18
EMS,E0,Q1,2016,420030506002,9
EMS,E0,Q1,2016,420030506003,3
EMS,E0,Q1,2016,420030509001,23
EMS,E0,Q1,2016,420030510001,16
EMS,E0,Q1,2016,420030510002,13
EMS,E0,Q1,2016,420030511001,2
EMS,E0,Q1,2016,420030603001,4
EMS,E0,Q1,2016,420030603002,16
EMS,E0,Q1,2016,420030605001,10
EMS,E0,Q1,2016,420030605002,6
EMS,E0,Q1,2016,420030703001,3
EMS,E0,Q1,2016,420030703002,10
EMS,E0,Q1,2016,420030703003,8
EMS,E0,Q1,2016,420030705002,4
EMS,E0,Q1,2016,420030705003,16
EMS,E0,Q1,2016,420030706001,2
EMS,E0,Q1,2016,420030706002,1
EMS,E0,Q1,2016,420030708001,11
EMS,E0,Q1,2016,420030708002,4
EMS,E0,Q1,2016,420030709001,29
EMS,E0,Q1,2016,420030709002,4
EMS,E0,Q1,2016,420030709003,1
EMS,E0,Q1,2016,420030709004,4
EMS,E0,Q1,2016,420030802001,2
EMS,E0,Q1,2016,420030802002,3
EMS,E0,Q1,2016,420030804001,18
EMS,E0,Q1,2016,420030804002,7
EMS,E0,Q1,2016,420030806001,4
EMS,E0,Q1,2016,420030806002,6
EMS,E0,Q1,2016,420030807001,2
EMS,E0,Q1,2016,420030807002,3
EMS,E0,Q1,2016,420030809001,12
EMS,E0,Q1,2016,420030809002,5
EMS,E0,Q1,2016,420030901001,18
EMS,E0,Q1,2016,420030901002,1
EMS,E0,Q1,2016,420030902001,9
EMS,E0,Q1,2016,420030902002,11
EMS,E0,Q1,2016,420030902003,18
EMS,E0,Q1,2016,420030903001,3
EMS,E0,Q1,2016,420030903002,5
EMS,E0,Q1,2016,420031005001,3
EMS,E0,Q1,2016,420031005002,6
EMS,E0,Q1,2016,420031011001,19
EMS,E0,Q1,2016,420031011002,9
EMS,E0,Q1,2016,420031011003,6
EMS,E0,Q1,2016,420031014001,4
EMS,E0,Q1,2016,420031014002,2
EMS,E0,Q1,2016,420031014003,3
EMS,E0,Q1,2016,420031014004,3
EMS,E0,Q1,2016,420031016001,8
EMS,E0,Q1,2016,420031017001,13
EMS,E0,Q1,2016,420031017002,4
EMS,E0,Q1,2016,420031018001,8
EMS,E0,Q1,2016,420031018002,8
EMS,E0,Q1,2016,420031102001,4
EMS,E0,Q1,2016,420031102002,7
EMS,E0,Q1,2016,420031102003,4
EMS,E0,Q1,2016,420031102004,5
EMS,E0,Q1,2016,420031106001,1
EMS,E0,Q1,2016,420031106003,3
EMS,E0,Q1,2016,420031113001,10
EMS,E0,Q1,2016,420031113002,11
EMS,E0,Q1,2016,420031113003,9
EMS,E0,Q1,2016,420031113004,6
EMS,E0,Q1,2016,420031114001,2
EMS,E0,Q1,2016,420031114002,6
EMS,E0,Q1,2016,420031115001,13
EMS,E0,Q1,2016,420031115002,22
EMS,E0,Q1,2016,420031115003,19
EMS,E0,Q1,2016,420031115004,23
EMS,E0,Q1,2016,420031203001,12
EMS,E0,Q1,2016,420031203002,15
