station_id,geoid,geoid_2020,lat,lon,call_count
1,420030804002,420030804002,40.4551298294508,-79.9479003767686,979
2,420032107001,420035652001,40.4531605728633,-80.0236523187025,3418
3,420032904004,420032904004,40.3909891226662,-79.9764211033501,1365
4,420034885001,420034885001,40.364250859616,-79.9212940518977,3
