Group,Block groups,Calls,Mean minutes,Call-weighted mean minutes,Median minutes,P95 minutes,% calls within 10 min,% calls within 5 min
Majority White,273,422300,5.633578646564746,5.384462090609263,5.710689319324132,8.53237487450082,99.9997632015155,42.84394979872129
Majority Black,72,142006,3.7777429745999496,3.9292000169967305,3.3518657812932164,7.495735815568827,100.0,61.80302240750391
Majority Asian,1,839,4.29468133139594,4.29468133139594,4.29468133139594,4.29468133139594,100.0,100.0
Other or mixed,33,48408,5.041010519448728,4.875611544398398,5.493095258478038,6.987709444809998,100.0,39.003883655594116
No population,10,21682,5.190425498861562,4.134531084928468,4.755619455052162,8.268844498195058,100.0,58.73074439627341
