Group,Block groups,Calls,Mean minutes,Call-weighted mean minutes,Median minutes,P95 minutes,% calls within 10 min,% calls within 5 min
Majority White,273,422300,4.353162295524144,3.891510765414847,4.512847175671821,7.507262985930553,100.0,70.42600047359697
Majority Black,72,142006,4.999803873373369,4.843170123330242,4.892166425877812,8.798905160564804,100.0,58.57569398476121
Majority Asian,1,839,4.744448382844201,4.744448382844201,4.744448382844201,4.744448382844201,100.0,100.0
Other or mixed,33,48408,3.881740779254895,3.807747536020712,4.15852086441916,6.073268622290454,100.0,78.52627664848785
No population,10,21682,5.281636688899079,4.911220498129133,5.2666425300862985,7.962567900137345,100.0,56.15718107185684
